,Fx,Fy,Fz,Mx,My,Mz,t
0,3.379425,-2.346263,-16.350346,-0.325643,-0.903733,-0.01425,3922.696417098
1,3.564272,-1.749654,-16.556357,-0.270499,-0.918637,-0.015666,3922.697044187
2,3.624528,-1.568372,-16.768358,-0.256573,-0.927786,-0.015561,3922.697592054
3,3.623876,-1.425936,-17.053561,-0.243099,-0.935125,-0.013116,3922.698003496
4,3.525238,-1.515807,-17.688506,-0.231331,-0.937616,-0.013907,3922.698596381
5,3.367203,-1.494871,-18.412059,-0.247527,-0.911914,-0.017252,3922.698997953
6,3.355224,-1.948185,-18.830024,-0.265273,-0.921571,-0.010933,3922.699455135
7,3.354064,-2.231294,-19.501823,-0.281606,-0.912322,-0.012873,3922.699880318
8,3.483372,-2.855914,-19.25863,-0.330306,-0.9138,-0.006444,3922.700432907
9,3.827908,-3.293372,-18.246267,-0.356045,-0.944043,0.000245,3922.700874848
10,3.839299,-3.180673,-17.653438,-0.375155,-0.937556,-0.009353,3922.70143366
11,3.722417,-3.382305,-16.895342,-0.387609,-0.932935,-0.008361,3922.70186512
12,3.632496,-3.037468,-16.775587,-0.370411,-0.912401,-0.012197,3922.702301543
13,3.619364,-2.912499,-16.596759,-0.345068,-0.923376,-0.010997,3922.702715911
14,3.657554,-2.768383,-16.552909,-0.341634,-0.930754,-0.013393,3922.703004576
15,3.750629,-2.332372,-17.048623,-0.315637,-0.922859,-0.015949,3922.703449684
16,3.80397,-2.387505,-17.383003,-0.290253,-0.939603,-0.004948,3922.703855941
17,3.79726,-2.189717,-18.001655,-0.278037,-0.937578,-0.010936,3922.704167587
18,3.76924,-2.150002,-18.247222,-0.288667,-0.931609,-0.010648,3922.704592085
19,3.910263,-2.254771,-17.81872,-0.266627,-0.953825,-0.000818,3922.705005601
20,3.957497,-2.235019,-17.566307,-0.255702,-0.964222,0.000496,3922.705435153
21,3.739242,-2.256986,-18.190332,-0.274035,-0.944723,-0.010305,3922.705881466
22,3.658604,-2.473268,-18.491924,-0.282885,-0.933925,-0.007791,3922.706435184
23,3.751257,-2.893688,-18.175694,-0.307382,-0.956881,-0.004228,3922.706881533
24,3.552377,-2.82534,-18.828097,-0.318218,-0.928092,-0.00925,3922.707434956
25,3.518195,-3.02244,-18.581785,-0.322601,-0.926917,-0.005532,3922.70786762
26,3.580541,-3.18024,-18.141191,-0.344262,-0.931614,-0.00408,3922.708316562
27,3.590739,-2.99638,-18.569261,-0.347571,-0.935148,-0.010914,3922.708714892
28,3.644014,-2.976547,-18.401125,-0.318929,-0.944712,-0.009669,3922.709009872
29,3.280131,-2.943916,-18.607473,-0.342464,-0.917011,-0.011974,3922.709451851
30,3.090148,-2.759401,-18.939154,-0.325224,-0.893677,-0.016588,3922.709861015
31,3.168402,-2.905225,-18.949523,-0.305025,-0.921818,-0.006711,3922.710151921
32,3.019648,-2.92024,-19.465307,-0.308829,-0.916648,-0.012173,3922.710592973
33,2.813577,-2.777709,-20.875476,-0.321274,-0.891469,-0.016761,3922.71100636
34,2.855251,-3.234592,-20.492692,-0.320804,-0.903563,-0.001397,3922.711443338
35,3.218645,-3.142717,-20.520471,-0.330046,-0.908964,-0.005496,3922.711893595
36,3.410866,-3.376256,-20.460398,-0.34127,-0.936023,-0.008849,3922.712440129
37,3.571048,-3.782036,-20.033663,-0.351683,-0.957886,0.002676,3922.712881496
38,3.68873,-3.706511,-19.661325,-0.366217,-0.965437,-0.004475,3922.713441845
39,3.330106,-3.624633,-20.319215,-0.363901,-0.938279,-0.008288,3922.713880138
40,3.276328,-3.690337,-19.962494,-0.354838,-0.937232,-0.005488,3922.714467079
41,3.27552,-3.644174,-19.62734,-0.358607,-0.939421,-0.004854,3922.714874039
42,3.158989,-3.23462,-19.830062,-0.344165,-0.911629,-0.009181,3922.715298629
43,3.029254,-3.046057,-19.453757,-0.346949,-0.906778,-0.013404,3922.715742997
44,2.888062,-3.039691,-18.354256,-0.352638,-0.893215,-0.01084,3922.716163013
45,3.014985,-2.579451,-17.797687,-0.31033,-0.901509,-0.011889,3922.716584529
46,2.907678,-2.594383,-17.459192,-0.327099,-0.893874,-0.010439,3922.716877842
47,2.652375,-2.305029,-18.409234,-0.301635,-0.877061,-0.017296,3922.717308728
48,2.757497,-2.336402,-18.738029,-0.295151,-0.8801,-0.012244,3922.717728836
49,2.930313,-2.412676,-18.560385,-0.290087,-0.903022,-0.010068,3922.71801802
50,2.960665,-2.187048,-19.243427,-0.28493,-0.899425,-0.01426,3922.71845161
51,2.978917,-2.174755,-19.310953,-0.28989,-0.902233,-0.013383,3922.718871107
52,3.07412,-2.377998,-18.740448,-0.290144,-0.924269,-0.012395,3922.719163161
53,2.952853,-2.258159,-19.184826,-0.263805,-0.915075,-0.011546,3922.719596918
54,2.655688,-2.479005,-18.999663,-0.304523,-0.889494,-0.014022,3922.720038544
55,2.688884,-2.663008,-18.17324,-0.301381,-0.887943,-0.009768,3922.720609115
56,2.737201,-2.496324,-18.120565,-0.318198,-0.879131,-0.015743,3922.72101989
57,2.859836,-2.417447,-17.679519,-0.318523,-0.877802,-0.01811,3922.721442332
58,3.057478,-2.408926,-17.022816,-0.301646,-0.897857,-0.010567,3922.721888737
59,2.972451,-2.193694,-16.873773,-0.288816,-0.893646,-0.015495,3922.722445437
60,2.929404,-2.170089,-17.128918,-0.287302,-0.892449,-0.016201,3922.722887508
61,2.823128,-2.13613,-17.564736,-0.285752,-0.889237,-0.016077,3922.723309246
62,2.843588,-2.027899,-18.002004,-0.27103,-0.89597,-0.015931,3922.723729022
63,2.930668,-2.032293,-17.968816,-0.264061,-0.91297,-0.0161,3922.72404839
64,2.770115,-1.775709,-18.980224,-0.263869,-0.903183,-0.025081,3922.72460572
65,2.565815,-1.975914,-19.168199,-0.274544,-0.893775,-0.021241,3922.725169494
66,2.428069,-2.138148,-19.066282,-0.273583,-0.884638,-0.015125,3922.725603158
67,2.621109,-2.313404,-19.525271,-0.264288,-0.895105,-0.017265,3922.726163599
68,2.728528,-2.545737,-19.63867,-0.277787,-0.911231,-0.013294,3922.726604578
69,2.84914,-2.710641,-20.078291,-0.296302,-0.920201,-0.014523,3922.727021834
70,2.75624,-2.804271,-20.731628,-0.320354,-0.911824,-0.018058,3922.727448573
71,2.684327,-2.985689,-20.301936,-0.32043,-0.920945,-0.013082,3922.727738015
72,2.424707,-2.931322,-20.664444,-0.332803,-0.886785,-0.019095,3922.728182864
73,2.305477,-3.032182,-20.267641,-0.335174,-0.876927,-0.016238,3922.728595769
74,2.271004,-3.257693,-20.348502,-0.341378,-0.886544,-0.011691,3922.728884841
75,2.077313,-3.14372,-21.340161,-0.330577,-0.864833,-0.018349,3922.729313431
76,2.232579,-3.473951,-21.46161,-0.33742,-0.886183,-0.011285,3922.729732855
77,2.402422,-3.493208,-21.425354,-0.328514,-0.892899,-0.005596,3922.730027445
78,2.595718,-3.337045,-21.408694,-0.346712,-0.897445,-0.012286,3922.730461128
79,2.707616,-3.425445,-21.339871,-0.337858,-0.913514,-0.006095,3922.730877625
80,2.743351,-3.565458,-21.027719,-0.319544,-0.923837,-0.001,3922.731324197
81,2.662291,-3.477728,-21.780172,-0.348529,-0.921377,-0.011578,3922.731737861
82,2.570313,-3.621468,-22.092479,-0.331499,-0.931074,-0.011125,3922.732043137
83,2.573135,-3.571011,-22.864903,-0.30799,-0.93136,-0.007633,3922.732465116
84,2.265964,-3.685665,-23.988133,-0.342817,-0.898182,-0.010041,3922.732886502
85,2.322487,-3.864615,-24.042234,-0.324994,-0.918738,-0.004868,3922.733158315
86,2.048918,-4.103661,-24.257708,-0.358838,-0.909531,-0.003377,3922.733608886
87,2.014358,-4.277943,-23.496334,-0.36964,-0.90767,-0.00068,3922.73403368
88,1.544445,-4.08627,-23.855858,-0.378924,-0.867471,-0.011702,3922.734597343
89,1.199448,-4.277575,-24.345083,-0.373143,-0.849466,-0.007132,3922.735040248
90,1.331821,-4.424577,-24.093092,-0.372198,-0.862712,-0.000147,3922.735465338
91,1.604708,-4.549911,-24.320675,-0.370163,-0.87792,0.000938,3922.735886631
92,1.477623,-4.600883,-24.649122,-0.378105,-0.87228,0.000218,3922.736177685
93,1.566019,-4.461722,-25.695597,-0.388903,-0.883059,-0.007,3922.736600757
94,1.388934,-4.778831,-25.852877,-0.39879,-0.890324,-0.001053,3922.737026013
95,1.239533,-4.668208,-26.072836,-0.393693,-0.873659,-0.00571,3922.73746851
96,1.072356,-4.720342,-26.330375,-0.399192,-0.864963,-0.006516,3922.737884934
97,0.787851,-4.91855,-26.378874,-0.401984,-0.840737,-0.002744,3922.73847243
98,1.039662,-4.918022,-25.826361,-0.403724,-0.862533,-0.000527,3922.738891465
99,0.988604,-4.665756,-26.07176,-0.395599,-0.841161,-0.003264,3922.739168926
100,1.041469,-4.89517,-25.1991,-0.406413,-0.859938,0.003186,3922.739613349
101,1.330845,-4.647293,-25.053802,-0.385435,-0.88036,-0.004687,3922.740040365
102,1.044826,-4.504176,-26.14056,-0.392727,-0.841861,-0.009449,3922.740455751
103,1.410549,-4.60935,-25.896322,-0.372297,-0.868251,-0.002371,3922.740901582
104,1.655099,-4.533253,-26.258027,-0.371614,-0.892865,-0.006845,3922.741464282
105,1.72598,-4.744853,-26.9979,-0.363634,-0.914261,0.00119,3922.741892131
106,1.588707,-4.789398,-27.247172,-0.394848,-0.8981,-0.006451,3922.742180629
107,1.461456,-4.741919,-27.942505,-0.387889,-0.891787,-0.007802,3922.742600293
108,1.185788,-5.102831,-28.251197,-0.389843,-0.902401,0.00032,3922.743041198
109,1.108446,-5.254992,-28.668662,-0.386379,-0.909398,-0.002198,3922.74332177
110,0.885127,-5.443178,-28.938175,-0.389312,-0.898546,-0.002374,3922.743745786
111,0.636865,-5.519966,-28.942645,-0.394991,-0.879282,-0.00253,3922.744177061
112,0.448227,-5.777405,-29.383271,-0.419609,-0.868668,-2.7e-05,3922.744615911
113,0.263396,-5.89146,-29.16871,-0.429605,-0.856498,-0.000292,3922.745029389
114,0.109385,-5.85062,-29.456903,-0.441146,-0.835635,-0.004773,3922.745318425
115,0.119319,-5.977537,-28.915037,-0.43783,-0.840973,0.001142,3922.745759311
116,0.184298,-5.989921,-28.846542,-0.433003,-0.847509,0.000276,3922.746173771
117,0.114194,-5.974684,-29.611155,-0.439825,-0.841789,-0.003257,3922.746606324
118,0.195823,-6.085088,-29.353626,-0.452426,-0.827665,0.000961,3922.747048914
119,0.578379,-6.088264,-29.72929,-0.427961,-0.876307,0.000948,3922.747602133
120,0.582675,-6.168241,-30.104575,-0.422871,-0.893297,-0.001563,3922.748133055
121,0.768854,-6.049152,-30.321338,-0.406027,-0.894741,0.001207,3922.748614052
122,0.562021,-6.056636,-30.548029,-0.403913,-0.888866,-0.003754,3922.749038198
123,0.247355,-6.118705,-31.173564,-0.408947,-0.862845,-0.005164,3922.749479973
124,-0.022269,-6.213452,-32.573759,-0.402294,-0.863492,-0.008145,3922.750035525
125,-0.345845,-6.712521,-33.545455,-0.420713,-0.861985,-0.004308,3922.750631447
126,-0.373778,-6.766824,-32.949026,-0.449679,-0.844401,-0.003457,3922.751049722
127,-0.580809,-6.920446,-32.547527,-0.47169,-0.83553,-0.003846,3922.751618589
128,-0.639469,-6.886239,-31.708406,-0.470517,-0.826143,-0.004283,3922.752046013
129,-0.914945,-6.751356,-31.340509,-0.474043,-0.791794,-0.009959,3922.752608454
130,-0.97033,-6.794621,-31.161097,-0.466218,-0.795676,-0.005506,3922.753054284
131,-0.724077,-6.618517,-31.483974,-0.450607,-0.812629,-0.005944,3922.753610799
132,-0.853274,-6.582468,-32.98044,-0.445924,-0.835754,-0.009646,3922.754046889
133,-1.059601,-6.614718,-33.424586,-0.442753,-0.832076,-0.011339,3922.754472905
134,-1.203478,-6.436348,-33.534153,-0.421284,-0.822637,-0.01144,3922.754892865
135,-1.313131,-6.204142,-33.634063,-0.411547,-0.808446,-0.012892,3922.7553404
136,-1.499226,-6.392637,-33.925884,-0.427236,-0.803289,-0.008175,3922.755753323
137,-1.562608,-6.260021,-33.705532,-0.419924,-0.796341,-0.01148,3922.756036043
138,-1.50381,-6.122989,-33.478499,-0.417389,-0.794443,-0.012211,3922.756481337
139,-1.615586,-5.917573,-33.02481,-0.424674,-0.78223,-0.015496,3922.756897205
140,-1.6139,-5.793166,-32.585577,-0.412155,-0.771717,-0.014812,3922.757178925
141,-1.326128,-5.567707,-31.694501,-0.407842,-0.782642,-0.014871,3922.757623071
142,-1.076621,-5.540478,-30.913464,-0.415535,-0.797747,-0.008632,3922.758043068
143,-0.871958,-5.0249,-30.721207,-0.373372,-0.805379,-0.013288,3922.758466177
144,-0.652192,-4.806558,-30.853093,-0.368233,-0.807864,-0.013565,3922.758910507
145,-0.123953,-4.59685,-30.775417,-0.326691,-0.853616,-0.004747,3922.759482374
146,-0.039967,-4.506056,-31.31946,-0.312716,-0.878336,-0.003094,3922.759902353
147,-0.164166,-4.458675,-32.308031,-0.294353,-0.873062,0.000421,3922.760486794
148,-0.431315,-4.385144,-33.242408,-0.320831,-0.854768,-0.006179,3922.760895958
149,-0.693414,-4.647906,-33.582346,-0.32449,-0.842391,0.000793,3922.761341677
150,-0.540038,-4.947895,-33.306236,-0.334352,-0.8498,0.002272,3922.76175586
151,-0.346937,-5.051677,-33.237222,-0.327373,-0.85757,0.009526,3922.762038858
152,-0.33105,-5.282613,-32.98215,-0.365894,-0.862022,0.003897,3922.762482781
153,-0.402058,-5.825831,-33.011661,-0.389848,-0.872897,0.001868,3922.762898649
154,-0.555883,-5.903455,-33.00825,-0.414737,-0.8447,-0.001049,3922.763180388
155,-0.378847,-6.140813,-33.102207,-0.404909,-0.85188,0.002172,3922.763627052
156,-0.484776,-6.425767,-33.660721,-0.432625,-0.859166,-0.004159,3922.764055401
157,-0.58964,-6.531875,-34.251707,-0.435347,-0.846485,-0.003866,3922.764325048
158,-0.467775,-6.744509,-34.285994,-0.460602,-0.850519,-0.001237,3922.764767267
159,-0.300822,-6.842834,-34.581918,-0.465435,-0.874181,-0.002743,3922.76519195
160,-0.652331,-6.868102,-35.357952,-0.458626,-0.867226,-0.006071,3922.765610503
161,-0.886815,-6.830068,-35.644494,-0.46533,-0.841687,-0.005867,3922.766058407
162,-1.089332,-6.912099,-35.723468,-0.462796,-0.836959,-0.003779,3922.766615978
163,-1.392461,-6.694575,-36.758779,-0.411165,-0.832755,-0.003109,3922.767053401
164,-1.883956,-6.832585,-37.672956,-0.448295,-0.80058,-0.013961,3922.767483528
165,-1.918801,-6.834956,-37.67825,-0.432101,-0.798814,-0.009325,3922.767896914
166,-2.070294,-6.86957,-37.860659,-0.447049,-0.782492,-0.01395,3922.768191579
167,-2.128972,-7.082583,-37.830448,-0.461933,-0.789422,-0.013391,3922.768631521
168,-1.964909,-6.928906,-37.945152,-0.446197,-0.792743,-0.020308,3922.769040463
169,-2.037122,-7.037817,-37.813144,-0.435523,-0.804758,-0.020036,3922.769334665
170,-2.354033,-7.178886,-38.398866,-0.458211,-0.792191,-0.023977,3922.76977281
171,-2.664451,-7.244923,-38.699289,-0.458711,-0.770998,-0.025675,3922.770186622
172,-2.847247,-7.361936,-39.257929,-0.454926,-0.769836,-0.025759,3922.770622842
173,-2.989709,-7.573274,-39.592833,-0.465633,-0.766616,-0.022623,3922.771060691
174,-3.152577,-7.773987,-39.743017,-0.477698,-0.76259,-0.018799,3922.77161578
175,-3.259461,-7.762494,-39.333557,-0.490268,-0.749952,-0.018133,3922.77206937
176,-3.138476,-7.518496,-38.178114,-0.492559,-0.751666,-0.014438,3922.772621681
177,-3.436926,-7.278832,-38.759903,-0.481523,-0.730725,-0.022242,3922.773058438
178,-3.61246,-7.352523,-39.28705,-0.457749,-0.73765,-0.019378,3922.773487194
179,-3.721088,-7.00406,-39.456193,-0.436245,-0.733134,-0.020142,3922.773900988
180,-3.741153,-6.899673,-39.453069,-0.427052,-0.739707,-0.020276,3922.77419519
181,-3.893015,-6.911673,-39.698978,-0.44202,-0.726308,-0.018496,3922.774643576
182,-3.725775,-6.778219,-39.475659,-0.423684,-0.716985,-0.012663,3922.775047592
183,-3.324445,-6.951438,-38.930418,-0.427444,-0.737941,-0.005474,3922.775488627
184,-2.823107,-6.943112,-38.819826,-0.41848,-0.774648,-0.002865,3922.775913105
185,-2.57916,-6.989781,-38.959602,-0.435385,-0.801268,-0.00584,3922.776483713
186,-2.74661,-7.090792,-39.000991,-0.448912,-0.792492,-0.009937,3922.776920932
187,-2.64261,-6.905025,-38.297735,-0.438611,-0.789961,-0.007686,3922.777477207
188,-2.610985,-6.748212,-37.438259,-0.455505,-0.767019,-0.007563,3922.777920686
189,-2.530822,-6.530355,-37.096988,-0.447774,-0.774159,-0.00764,3922.778338109
190,-2.601106,-6.02936,-37.778042,-0.409137,-0.763922,-0.010395,3922.778765791
191,-2.52842,-6.199894,-37.670492,-0.408144,-0.793636,-0.002082,3922.779054716
192,-2.510709,-6.038404,-37.402834,-0.40285,-0.785726,0.00117,3922.779484176
193,-2.456308,-5.700622,-37.124317,-0.390565,-0.76913,0.006263,3922.779908395
194,-2.43996,-5.516828,-37.483937,-0.378774,-0.770437,0.004109,3922.780207097
195,-2.242238,-5.3943,-37.566464,-0.343812,-0.810821,0.002927,3922.780635724
196,-2.28796,-5.323734,-37.774377,-0.347181,-0.812328,0.005418,3922.781051388
197,-2.353679,-5.094013,-37.953022,-0.331423,-0.808105,0.001497,3922.781349016
198,-2.617602,-5.141532,-38.445664,-0.31719,-0.803684,-0.003551,3922.781776384
199,-2.873215,-5.284031,-38.852174,-0.338941,-0.775522,-0.008074,3922.782202066
200,-2.975357,-5.29512,-38.708631,-0.33629,-0.760423,-0.006547,3922.782640453
201,-2.824247,-5.625548,-38.724278,-0.354486,-0.783472,-0.009079,3922.783059246
202,-2.86445,-5.796019,-39.209477,-0.360715,-0.784491,-0.010546,3922.783634558
203,-3.151835,-6.313709,-39.62869,-0.399101,-0.774043,-0.01069,3922.784816735
204,-3.403983,-6.387469,-40.215468,-0.405558,-0.753588,-0.010492,3922.785367713
