,Fx,Fy,Fz,Mx,My,Mz,t
0,3.12579,4.934015,-25.523668,0.15884,-0.884669,0.011836,1044.282983459
1,1.706653,3.448923,-29.054635,-0.000466,-0.75608,0.011136,1044.283643968
2,0.804866,2.704803,-32.265394,-0.049876,-0.695011,0.006605,1044.28407682
3,0.304774,1.664622,-34.38313,-0.121974,-0.654849,0.008218,1044.284479785
4,0.274107,0.64828,-34.895132,-0.182436,-0.651551,0.01311,1044.284753199
5,0.793798,-0.809402,-34.392263,-0.276915,-0.710299,0.019855,1044.285209106
6,1.486941,-1.897174,-33.43824,-0.367034,-0.752039,0.016699,1044.285633737
7,1.802701,-2.70699,-32.648242,-0.444409,-0.778626,0.018083,1044.286041923
8,1.784632,-3.36465,-33.629879,-0.481044,-0.767694,0.015431,1044.286479072
9,1.257344,-4.410558,-36.040919,-0.562496,-0.716476,0.011797,1044.286918664
10,1.12682,-5.797457,-39.814491,-0.649533,-0.69766,0.014584,1044.287328166
11,1.421007,-7.065779,-44.491508,-0.740112,-0.717187,0.010986,1044.287763481
12,1.822699,-8.452216,-47.478431,-0.860922,-0.753898,0.008913,1044.288203277
13,3.544538,-11.330382,-50.353823,-1.142633,-0.929572,-0.051012,1044.288762143
14,3.852687,-12.079622,-51.430847,-1.202649,-0.946512,-0.050124,1044.289195921
15,2.713544,-11.792654,-52.602489,-1.147436,-0.803846,-5.2e-05,1044.289630458
16,1.766224,-10.248823,-53.199175,-0.976013,-0.70379,0.046925,1044.290188009
17,1.268962,-9.168474,-52.472102,-0.883721,-0.658783,0.055871,1044.290633083
18,1.352023,-8.280103,-51.996319,-0.807181,-0.68069,0.035424,1044.291054825
19,2.558373,-7.415722,-51.810122,-0.775185,-0.814116,-0.015359,1044.291618857
20,3.611939,-7.140822,-50.559428,-0.785322,-0.933494,-0.040491,1044.292125261
21,3.69764,-6.137444,-50.263567,-0.742709,-0.949476,-0.053208,1044.292625666
22,2.900648,-4.710411,-50.464107,-0.62495,-0.863271,-0.033235,1044.293054241
23,2.162355,-3.501453,-49.438429,-0.499196,-0.768936,-0.004363,1044.2934965
24,2.514904,-2.711681,-47.242425,-0.405612,-0.802999,-0.003323,1044.29390178
25,2.563047,-2.454192,-46.762336,-0.421105,-0.805117,-0.024841,1044.29433741
26,2.159214,-2.662506,-48.132863,-0.444597,-0.780408,-0.040337,1044.294780169
27,1.586495,-3.240555,-50.263823,-0.505253,-0.755897,-0.046047,1044.29519017
28,0.964837,-3.351841,-52.016422,-0.541511,-0.71199,-0.057262,1044.295623448
29,0.719398,-3.430262,-52.24835,-0.537185,-0.697333,-0.059826,1044.295913529
30,0.385642,-3.580224,-51.415127,-0.566258,-0.66555,-0.067492,1044.296342104
31,0.585192,-3.257925,-49.73668,-0.527132,-0.680429,-0.068423,1044.296758327
32,0.996451,-2.818373,-47.993695,-0.519469,-0.707009,-0.071266,1044.297207956
33,1.433885,-2.229529,-45.513788,-0.452489,-0.75996,-0.047253,1044.297628105
34,1.004872,-1.746408,-44.614461,-0.40696,-0.727733,-0.0321,1044.297899853
35,-0.130814,-0.455335,-44.368842,-0.331744,-0.633892,-0.01821,1044.298344779
36,-0.985814,0.748127,-43.676978,-0.242749,-0.572073,-0.017507,1044.298782224
37,-1.209595,1.841802,-42.743231,-0.141785,-0.553373,-0.017437,1044.299188355
38,-1.312481,2.792731,-42.429636,-0.055552,-0.548769,-0.016982,1044.29963017
39,-1.127333,3.028579,-42.941501,-0.028037,-0.561784,-0.020613,1044.300089706
40,-0.731421,2.690926,-44.022456,-0.035794,-0.586817,-0.023824,1044.300474968
41,0.192967,2.291181,-44.941377,-0.07913,-0.652332,-0.031354,1044.300915783
42,0.474148,1.481273,-46.15764,-0.159748,-0.669829,-0.031918,1044.301354487
43,0.178083,0.873765,-47.735371,-0.211719,-0.654651,-0.025698,1044.301763081
44,-0.478955,0.25405,-48.783882,-0.241868,-0.616299,-0.020254,1044.302201229
45,-1.122683,-0.441471,-48.945005,-0.306052,-0.557734,-0.01559,1044.302638118
46,-1.351106,-1.029008,-49.043656,-0.35496,-0.523372,-0.021034,1044.303047897
47,-1.427083,-1.834232,-49.174217,-0.414567,-0.52692,-0.016405,1044.303489842
