,hop_energy
0,1.5219615683507337
1,1.8903784121651892
2,2.7376054615171324
3,1.9687091402040249
4,1.970770030108988
5,1.3733496552361206
6,2.9697569428170922
7,0.8969854123905829
8,1.3186465966982315
9,2.388760233816524
10,1.5248648668353635
11,0.9096303076433365
12,1.6150467866663618
13,1.4818210437224604
14,1.6665291738243369
15,3.2834421845005135
16,1.258010439711346
17,0.9083079997492653
18,3.6047795227912056
19,2.6530113271543447
20,3.5824428226979768
21,2.7469793771281523
22,1.8194881389389614
23,3.2745618983974607
24,1.98625276971645
25,1.4100183658299308
26,1.867031553376898
27,2.018662242116804
28,1.3758382697628306
29,2.265363320445635
30,3.052295137004429
31,0.6626368414994568
32,1.8191204479003051
33,1.993659093994756
34,3.0812002887161896
35,2.0574980650435535
36,0.14489573036280845
37,2.215780080752758
38,2.3492384749436637
39,1.5207294053147988
40,2.2401071375074055
41,1.0842965198436998
42,1.9579183819324912
43,2.828893578711795
44,2.0623423952163513
45,2.4805369803315758
46,1.7747064536802144
47,2.6599748973564727
