,x_deg,x_moteus_deg,y,l,mode,u_ff,q_current,d_current,torque,t_s
0,-19.602539062499996,37.3974609375,0.15821212121867792,0.14478787878132207,2,0.0,-3.6,0.4,-1.5309677124023438,1044.277219903
1,-17.454711914062496,39.5452880859375,0.15531289332545253,0.14768710667454746,2,-2.4302106334281026,-3.4000000000000004,0.0,-1.4410125017166138,1044.282252971
2,-16.4384765625,40.5615234375,0.15394473091195404,0.14905526908804595,2,-2.310371244453288,-5.1000000000000005,0.2,-2.149786949157715,1044.283771889
3,-15.850708007812498,41.1492919921875,0.15315483013295406,0.14984516986704594,2,-2.2313628941756205,-4.9,0.2,-2.0676698684692383,1044.285173663
4,-15.372802734374996,41.627197265625,0.15251344490841617,0.15048655509158382,2,-2.158094085986944,-4.9,-0.1,-2.0940496921539307,1044.286538958
5,-14.911376953124998,42.088623046875,0.15189498291493886,0.15110501708506113,2,-2.0868462155708762,-4.9,0.4,-2.060852289199829,1044.287864125
6,-14.4774169921875,42.5225830078125,0.1513141095760024,0.1516858904239976,2,-2.017883348706019,-4.6000000000000005,0.5,-1.8176264762878418,1044.289221698
7,-14.076416015625,42.923583984375,0.15077806368640545,0.15222193631359454,2,-1.946566160651797,-4.4,0.1,-1.8712650537490845,1044.290511829
8,-13.669921874999995,43.330078125,0.15023541061261267,0.15276458938738732,2,-1.8799475085861843,-4.6000000000000005,-0.1,-1.9218894243240356,1044.291805571
9,-13.2689208984375,43.7310791015625,0.14970085416366768,0.1532991458363323,2,-1.8133950166902668,-4.4,-0.4,-1.8001371622085571,1044.29315307
10,-12.873413085937498,44.1265869140625,0.1491743992062924,0.15382560079370758,2,-1.743631628669327,-4.4,-0.2,-1.8509713411331177,1044.294466923
11,-12.510864257812498,44.4891357421875,0.14869252496686688,0.1543074750331331,2,-1.6765563066272593,-4.1000000000000005,0.1,-1.7402784824371338,1044.295722
12,-12.148315429687498,44.8516845703125,0.1482113569010949,0.15478864309890508,2,-1.612477323594736,-3.8000000000000003,0.5,-1.5852181911468506,1044.297045185
13,-11.763793945312495,45.2362060546875,0.1477018283636304,0.15529817163636958,2,-1.5454175925098528,-3.6,-0.2,-1.5230209827423096,1044.298327613
14,-11.412231445312496,45.5877685546875,0.14723672162889073,0.15576327837110926,2,-1.480397981749383,-3.7,-0.5,-1.5546313524246216,1044.299617837
