,Fx,Fy,Fz,Mx,My,Mz,t
0,0.384258,5.503251,-35.04477,0.136836,-0.650392,0.005294,1258.099433818
1,2.171012,6.564432,-29.109332,0.260135,-0.798182,0.012967,1258.099947938
2,2.942198,6.798991,-25.601124,0.290631,-0.865664,0.015225,1258.100529908
3,2.711579,6.782294,-25.706461,0.282816,-0.850654,0.016752,1258.100935122
4,2.073982,6.419565,-26.917767,0.229646,-0.793826,0.010146,1258.101346447
5,1.643155,5.872504,-28.902664,0.170877,-0.746867,0.005723,1258.101652533
6,0.913155,5.354778,-33.413996,0.130386,-0.677023,0.001642,1258.102085876
7,0.897256,3.778317,-38.748232,0.019813,-0.676598,0.00932,1258.102639995
8,1.599863,1.985629,-41.154498,-0.069983,-0.745759,0.01605,1258.103078746
9,2.213449,0.356775,-43.190514,-0.166606,-0.816757,0.012156,1258.103511885
10,2.496212,-1.733355,-43.732789,-0.322331,-0.842985,0.01083,1258.10391834
11,2.354438,-3.437586,-43.966342,-0.468439,-0.825717,0.006197,1258.104354942
12,1.799647,-4.932817,-44.305076,-0.590532,-0.779736,0.006069,1258.104800674
13,0.9492,-6.635969,-45.505633,-0.725076,-0.690042,-0.003081,1258.105208518
14,0.374189,-8.550893,-48.490477,-0.849226,-0.651938,0.005901,1258.105635991
15,-0.353987,-10.39881,-53.028401,-1.010733,-0.580747,0.005131,1258.106080315
16,-0.214992,-12.133,-56.508547,-1.135866,-0.582409,0.01119,1258.106503362
17,0.027401,-13.494654,-59.798759,-1.230867,-0.599744,0.013105,1258.106919984
18,0.09535,-14.614719,-62.753824,-1.32767,-0.599996,0.00455,1258.107363938
19,0.474658,-15.259184,-64.99291,-1.389658,-0.621357,0.000655,1258.107788651
20,0.918323,-15.822188,-65.674695,-1.412696,-0.661672,0.001846,1258.108252642
21,1.519057,-15.826593,-65.674645,-1.415329,-0.713855,-0.003443,1258.108809335
22,1.595867,-15.435416,-65.886895,-1.389281,-0.718562,-0.011197,1258.109221438
23,1.480553,-14.989362,-66.416761,-1.370623,-0.717021,-0.017318,1258.109630152
24,1.457506,-14.590519,-66.040423,-1.343748,-0.713494,-0.019871,1258.109928572
25,1.649922,-13.45244,-64.840926,-1.244816,-0.746685,-0.019134,1258.110368785
26,1.295975,-12.126742,-62.754222,-1.157133,-0.727585,-0.022887,1258.110782721
27,0.794001,-10.788559,-60.155683,-1.080582,-0.689031,-0.030815,1258.111211046
28,0.89234,-9.067284,-56.910517,-0.981258,-0.695951,-0.03306,1258.111657241
29,1.153409,-7.677553,-54.001903,-0.86875,-0.725059,-0.013884,1258.111932809
30,1.501528,-5.246942,-50.369692,-0.657879,-0.755094,0.013718,1258.11234756
31,1.138414,-3.401589,-48.516509,-0.490689,-0.730534,0.03706,1258.112796866
32,0.520444,-2.468355,-48.571275,-0.391714,-0.680391,0.046173,1258.113227821
33,0.496809,-1.775489,-49.39298,-0.321584,-0.677057,0.051354,1258.113778513
34,0.607766,-1.603612,-49.377639,-0.34038,-0.689769,0.041223,1258.114228245
35,0.656914,-1.254091,-48.562273,-0.351982,-0.698679,0.021045,1258.114653755
36,1.024072,-1.098844,-46.764648,-0.322857,-0.728441,0.001704,1258.115210892
37,1.084,-1.10974,-45.132626,-0.348472,-0.72435,-0.018866,1258.115658216
38,1.281486,-1.228884,-43.501715,-0.358644,-0.752965,-0.027068,1258.11611567
39,0.826725,-1.263559,-42.477612,-0.373464,-0.715754,-0.027016,1258.116493403
40,0.375273,-1.327219,-42.368425,-0.37362,-0.693301,-0.021181,1258.116788657
41,-0.490194,-1.150915,-42.646039,-0.389163,-0.614547,-0.023548,1258.117231204
42,-0.903335,-1.015275,-42.455284,-0.377238,-0.585057,-0.016758,1258.117639992
43,-1.257071,-0.404277,-42.00269,-0.328686,-0.554818,-0.017176,1258.118074372
44,-1.510424,0.336937,-41.539139,-0.279608,-0.542559,-0.018402,1258.118519622
45,-1.485254,1.019928,-40.975261,-0.214759,-0.552755,-0.01649,1258.118925892
46,-1.375373,1.566383,-40.677868,-0.150102,-0.556292,-0.014273,1258.119357846
47,-1.295928,2.053732,-40.664249,-0.112137,-0.559271,-0.015763,1258.119806337
48,-0.930149,2.278923,-40.723543,-0.10895,-0.588298,-0.020187,1258.120230384
49,-0.761068,2.325207,-41.243326,-0.091214,-0.614488,-0.024077,1258.120640191
50,-0.924032,2.328069,-43.02296,-0.105398,-0.584527,-0.023591,1258.121087145
51,-1.236461,1.90648,-44.604649,-0.125201,-0.556819,-0.01495,1258.121513507
52,-1.537422,1.426223,-46.32946,-0.171715,-0.531791,-0.014868,1258.121922369
53,-1.298891,0.882497,-47.840674,-0.224901,-0.547652,-0.021748,1258.122369601
54,-0.907642,0.284493,-49.2137,-0.262993,-0.563891,-0.023008,1258.122802685
55,-0.709985,-0.378784,-50.688255,-0.325742,-0.571416,-0.025866,1258.123208917
56,-0.62997,-0.926325,-51.797538,-0.366638,-0.570964,-0.023523,1258.123503412
57,-0.254573,-1.209099,-52.646658,-0.375896,-0.60253,-0.020553,1258.123793165
58,0.07456,-1.882622,-53.28139,-0.438907,-0.63718,-0.024061,1258.124231434
59,0.171746,-2.152898,-53.641311,-0.474296,-0.636199,-0.020374,1258.124636278
60,0.236811,-2.211635,-54.154721,-0.465705,-0.641939,-0.014558,1258.125084676
61,0.035381,-2.289086,-54.602416,-0.452484,-0.630045,-0.009836,1258.125523908
62,0.04206,-2.67928,-54.616538,-0.473401,-0.634656,-0.006777,1258.125926493
63,0.232479,-3.075787,-54.598911,-0.500324,-0.649711,-0.01152,1258.126364151
64,0.679496,-3.817439,-54.3689,-0.548603,-0.701869,-0.012535,1258.126948824
65,0.527764,-4.096588,-54.994064,-0.583204,-0.693901,-0.016232,1258.127355427
66,0.142113,-4.338415,-55.336396,-0.583057,-0.674194,-0.010183,1258.127798066
67,-0.285372,-4.598698,-55.057154,-0.590156,-0.633877,-0.003425,1258.128378073
68,-0.25683,-4.615865,-54.95306,-0.575725,-0.643565,0.000299,1258.128792917
69,-0.242858,-4.553325,-54.687429,-0.590291,-0.641645,-0.002845,1258.12923513
70,-0.379253,-4.620763,-53.915913,-0.587789,-0.630694,0.00936,1258.129662251
71,-0.656794,-4.221553,-53.344396,-0.577012,-0.597961,0.011597,1258.130068466
72,-0.766916,-3.922508,-52.018254,-0.537465,-0.601295,0.024072,1258.130514271
73,-0.869208,-3.53048,-51.273016,-0.510078,-0.598335,0.02595,1258.130953485
74,-0.996878,-3.072903,-50.776489,-0.482867,-0.585365,0.029714,1258.131358032
75,-0.93958,-2.550506,-50.49925,-0.449878,-0.58668,0.030519,1258.13165723
76,-0.921305,-1.889344,-49.703525,-0.407758,-0.591809,0.033321,1258.132092795
77,-0.729624,-1.080735,-48.368781,-0.338158,-0.605679,0.033469,1258.132514528
78,-0.469821,-0.362971,-46.892973,-0.267473,-0.636503,0.034942,1258.132931131
79,-0.298097,0.212998,-46.001811,-0.213642,-0.656523,0.036793,1258.133226662
80,-0.169217,0.646164,-45.336479,-0.171862,-0.66936,0.036406,1258.133518489
81,-0.19413,1.310519,-44.506412,-0.131852,-0.663841,0.036886,1258.133944777
