,Fx,Fy,Fz,Mx,My,Mz,t
0,-4.468177,1.040863,-36.72846,-0.086504,-0.247605,-0.002323,10245.096611021
1,-4.210629,0.29665,-35.682114,-0.111623,-0.260847,0.089774,10245.097261129
2,-3.916125,-1.093286,-38.028387,-0.246858,-0.263201,0.101341,10245.097684757
3,-2.752861,-2.20294,-38.489179,-0.381411,-0.325,0.079872,10245.098110662
4,-0.61145,-2.200619,-35.738298,-0.458146,-0.500325,0.037707,10245.098523697
5,2.105963,-1.132434,-30.635377,-0.432209,-0.740215,-0.011443,10245.098973214
6,6.291116,1.358617,-23.10764,-0.232386,-1.143839,-0.029452,10245.099534637
7,7.42389,2.769131,-17.855839,-0.040961,-1.248882,-0.029402,10245.099957709
8,5.377704,2.587799,-15.608845,0.00855,-1.026611,-0.078723,10245.100400707
9,5.686478,1.992384,-12.809536,-0.001203,-1.079606,-0.053693,10245.10095713
10,6.058057,1.243609,-11.450072,-0.053182,-1.123535,-0.024168,10245.101385314
11,6.209687,0.279792,-10.998688,-0.143814,-1.148312,0.003539,10245.101829552
12,5.987541,-1.08687,-10.887606,-0.302625,-1.105097,-0.015129,10245.102422124
13,2.39753,-1.232196,-12.802874,-0.311486,-0.732707,-0.060488,10245.102819511
14,1.326463,-1.523359,-13.235197,-0.367599,-0.647001,-0.059812,10245.103258601
15,0.948482,-2.037199,-12.03738,-0.443724,-0.610617,-0.067568,10245.103664414
16,1.129697,-2.420843,-13.344467,-0.485303,-0.658749,-0.063119,10245.104108208
17,2.098126,-1.648945,-15.217221,-0.412768,-0.758257,-0.033075,10245.104545243
18,2.504598,-0.697312,-17.014858,-0.325645,-0.79854,-0.000795,10245.104957964
19,2.874802,0.277976,-17.934349,-0.22956,-0.831052,0.00619,10245.105387462
20,3.679901,1.903481,-17.141751,-0.045388,-0.89939,0.012163,10245.105831219
21,4.707103,3.181236,-15.778552,0.084353,-0.986458,-0.000266,10245.106240569
22,6.029101,3.319176,-14.045937,0.110134,-1.108883,-0.020833,10245.106668919
23,6.633518,3.147222,-13.048206,0.137758,-1.166323,-0.018319,10245.107119009
24,6.284005,1.845969,-12.499539,0.015368,-1.13718,-0.022712,10245.107672803
25,5.86005,0.610311,-11.904875,-0.129883,-1.094006,-0.034832,10245.108109579
26,4.638506,-0.254706,-11.526571,-0.204767,-0.966074,-0.024915,10245.108545188
27,4.310892,-1.526386,-10.693292,-0.32766,-0.951725,-0.039216,10245.109102333
28,4.343096,-1.92658,-10.629937,-0.383832,-0.936752,-0.049198,10245.109539424
29,4.039698,-2.451596,-11.0618,-0.40659,-0.913565,-0.050107,10245.109970033
30,4.163509,-2.574206,-10.945002,-0.424333,-0.929544,-0.046133,10245.110536771
31,4.421703,-2.313975,-11.181307,-0.425865,-0.951624,-0.050481,10245.110975399
32,4.69758,-1.887613,-11.209741,-0.369777,-0.973649,-0.044068,10245.111395045
33,4.05711,-0.985434,-11.538308,-0.274304,-0.910869,-0.01786,10245.111976079
34,3.273481,-0.344774,-11.368773,-0.206666,-0.844041,0.000723,10245.112405059
35,3.828527,0.35103,-11.357781,-0.153591,-0.896249,-0.013422,10245.112819038
36,4.833387,0.349662,-10.710714,-0.145203,-1.004652,-0.02567,10245.113103907
37,5.324522,0.067138,-10.57756,-0.188839,-1.047088,-0.044537,10245.113391295
38,5.590045,-0.328448,-11.068064,-0.229494,-1.075624,-0.056137,10245.113683405
39,5.148217,-0.815368,-12.317953,-0.2679,-1.018147,-0.047382,10245.114103644
40,3.636369,-0.255198,-15.153386,-0.217704,-0.863627,-0.007,10245.114534123
41,2.336524,0.498423,-19.040978,-0.184879,-0.772926,0.008922,10245.114986602
42,2.346378,1.138601,-20.545331,-0.181032,-0.774753,-0.010616,10245.115404841
43,3.23876,1.625681,-20.523099,-0.129022,-0.845625,-0.034175,10245.11584521
44,4.62118,1.859759,-19.738682,-0.081029,-0.958198,-0.048466,10245.11624993
45,5.876504,2.036519,-18.707532,-0.055836,-1.07182,-0.047002,10245.116684632
46,6.357064,2.076712,-16.726838,-0.02489,-1.117272,-0.025796,10245.117123981
47,6.313934,1.540607,-12.990892,-0.03524,-1.127951,-0.011656,10245.117678127
48,5.790387,1.113365,-11.887191,-0.052171,-1.088984,-0.011186,10245.118116569
49,4.946954,0.656528,-11.830834,-0.12218,-0.995231,-0.024674,10245.118561327
50,4.246499,-0.758886,-13.363039,-0.271412,-0.935136,-0.035891,10245.119105657
51,3.483173,-1.716961,-17.906022,-0.382595,-0.851684,-0.042749,10245.119549655
52,2.523902,-3.299871,-25.849779,-0.474128,-0.756721,-0.034797,10245.119973913
53,2.40928,-5.36941,-32.996126,-0.637909,-0.735029,-0.042637,10245.12039704
54,3.697214,-7.247374,-37.471868,-0.743967,-0.84142,-0.034167,10245.120839298
55,4.870246,-8.389457,-40.295503,-0.84618,-0.980984,-0.036459,10245.121262685
56,5.36237,-8.852291,-41.323802,-0.897081,-1.052279,-0.044736,10245.121681664
57,5.235649,-8.663031,-41.029679,-0.889643,-1.046266,-0.051368,10245.121970663
