,Fx,Fy,Fz,Mx,My,Mz,t
0,4.556517,-0.792786,-11.468833,-0.255959,-0.968551,-0.029074,6587.194896921
1,4.583545,-0.907632,-11.258292,-0.256242,-0.980132,-0.029387,6587.195541208
2,4.600369,-0.918541,-11.393789,-0.266331,-0.981325,-0.025228,6587.195963683
3,4.578231,-0.953831,-11.359181,-0.27277,-0.977347,-0.0276,6587.196407083
4,4.538139,-0.857252,-11.361277,-0.259372,-0.972941,-0.028446,6587.196950001
5,4.553296,-0.840605,-11.46537,-0.268884,-0.968156,-0.029805,6587.197389865
6,4.533395,-0.903863,-11.429207,-0.274673,-0.97093,-0.029096,6587.197807414
7,4.528256,-0.776513,-11.680135,-0.269211,-0.961072,-0.030378,6587.19823074
8,4.556679,-0.918677,-11.353746,-0.272611,-0.977167,-0.025217,6587.198670826
9,4.535631,-0.831568,-11.358119,-0.262815,-0.970529,-0.029173,6587.199096227
10,4.580853,-0.907984,-11.287042,-0.263869,-0.981315,-0.026934,6587.199512628
11,4.571603,-0.705071,-11.460322,-0.261337,-0.966032,-0.030515,6587.199994639
12,4.577998,-0.880187,-11.357875,-0.265799,-0.975232,-0.027577,6587.200600852
13,4.625686,-0.906316,-11.143376,-0.256225,-0.980547,-0.024589,6587.200945477
14,4.53773,-0.882469,-11.209615,-0.266042,-0.973631,-0.02531,6587.201239157
15,4.534402,-0.879159,-11.245194,-0.271972,-0.96819,-0.027567,6587.201672799
16,4.557801,-0.917699,-11.432708,-0.267414,-0.97581,-0.027589,6587.202086663
17,4.592983,-0.695239,-11.535051,-0.258967,-0.973501,-0.032153,6587.202521304
18,4.597715,-0.817393,-11.356731,-0.261334,-0.973168,-0.028308,6587.20295976
19,4.64568,-0.895396,-11.363124,-0.254961,-0.987132,-0.026124,6587.203377291
20,4.580797,-0.956537,-11.359299,-0.268028,-0.98198,-0.025302,6587.203804433
21,4.534822,-0.831546,-11.430134,-0.264057,-0.971162,-0.029133,6587.204106502
22,4.602936,-0.970361,-11.325009,-0.267077,-0.98734,-0.026177,6587.204526922
23,4.537875,-0.932359,-11.174299,-0.271622,-0.97649,-0.02616,6587.204942434
24,4.557393,-0.894289,-11.285153,-0.268617,-0.976532,-0.02846,6587.205386297
25,4.624032,-0.933573,-11.288106,-0.263005,-0.988301,-0.026183,6587.205810976
26,4.558659,-0.894086,-11.397696,-0.263512,-0.976652,-0.028435,6587.206086305
27,4.578158,-0.905815,-11.173254,-0.271243,-0.976695,-0.026879,6587.206521409
28,4.535671,-0.855904,-11.43106,-0.264259,-0.971227,-0.028346,6587.206956662
29,4.515574,-0.990647,-11.320205,-0.278084,-0.971017,-0.025224,6587.207374748
30,4.539044,-0.956372,-11.286157,-0.269232,-0.976576,-0.02533,6587.207676299
31,4.537957,-0.932404,-11.324288,-0.269044,-0.977919,-0.028512,6587.20795261
32,4.551645,-0.791308,-11.4272,-0.268425,-0.966585,-0.031377,6587.208401381
33,4.599705,-0.89372,-11.43017,-0.264805,-0.98055,-0.025992,6587.208828855
34,4.595923,-0.769842,-11.427518,-0.261035,-0.975923,-0.029879,6587.209240942
35,4.581316,-0.905894,-11.289018,-0.261115,-0.97701,-0.026891,6587.209673231
36,4.602983,-0.969779,-11.28869,-0.267024,-0.985898,-0.026177,6587.210086799
37,4.5571,-0.964418,-11.14056,-0.276507,-0.97063,-0.028443,6587.210527255
38,4.554859,-0.866148,-11.466918,-0.267953,-0.970471,-0.029059,6587.210959712
39,4.514495,-0.84402,-11.322081,-0.265443,-0.968869,-0.029994,6587.211377427
40,4.581895,-0.883908,-11.289338,-0.258643,-0.981446,-0.027758,6587.211812606
41,4.581028,-0.955491,-11.360287,-0.266651,-0.979827,-0.025281,6587.212258766
42,4.533869,-0.830749,-11.468568,-0.265206,-0.97032,-0.031489,6587.212664204
43,4.580314,-0.954305,-11.359664,-0.267785,-0.977577,-0.025241,6587.213103975
44,4.536671,-0.830544,-11.287091,-0.260196,-0.967743,-0.029193,6587.21353258
45,4.665115,-0.782592,-11.32367,-0.246186,-0.981478,-0.026027,6587.213947351
46,4.515679,-0.843772,-11.284634,-0.262917,-0.967559,-0.027616,6587.214388715
47,4.552485,-0.863635,-11.464063,-0.272733,-0.965873,-0.02896,6587.214821652
48,4.515962,-0.919354,-11.39216,-0.270087,-0.974035,-0.025241,6587.215234665
49,4.537435,-0.83367,-11.393933,-0.259261,-0.974353,-0.026835,6587.215688602
50,4.475147,-0.86956,-11.429571,-0.261928,-0.966602,-0.024416,6587.216105762
51,4.580547,-0.930208,-11.433975,-0.263801,-0.978342,-0.026023,6587.216525552
52,4.601178,-0.892989,-11.252558,-0.262229,-0.977806,-0.028471,6587.216968897
53,4.497717,-0.906729,-11.215373,-0.263629,-0.969087,-0.026945,6587.217381409
54,4.55473,-0.74337,-11.357037,-0.25677,-0.966248,-0.030668,6587.217811329
55,4.533115,-0.830801,-11.464221,-0.267756,-0.970256,-0.029073,6587.218106787
56,4.538147,-0.857908,-11.321233,-0.260734,-0.973686,-0.026071,6587.218384672
57,4.644205,-0.968294,-11.398516,-0.265631,-0.988341,-0.026087,6587.218809406
58,4.622691,-0.83164,-11.327272,-0.252848,-0.978822,-0.029238,6587.219252862
59,4.580853,-0.907984,-11.287042,-0.263869,-0.981315,-0.026934,6587.219670707
60,4.537965,-0.835319,-11.357249,-0.259451,-0.977313,-0.026897,6587.220111978
61,4.64584,-0.946597,-11.247719,-0.263265,-0.991481,-0.022223,6587.22053912
62,4.604735,-0.846138,-11.286865,-0.249435,-0.979712,-0.022946,6587.220953929
63,4.558636,-0.848009,-11.317989,-0.262184,-0.98036,-0.025316,6587.221390218
64,4.621708,-0.809685,-11.395259,-0.254169,-0.983828,-0.027648,6587.221824415
65,4.582697,-0.908848,-11.326582,-0.2589,-0.982953,-0.026971,6587.222240779
66,4.536145,-0.95522,-11.397734,-0.274096,-0.976235,-0.030023,6587.222680754
67,4.64431,-0.993849,-11.290258,-0.269767,-0.990502,-0.027764,6587.223117155
68,4.579745,-0.879694,-11.327515,-0.260684,-0.973951,-0.030012,6587.223528
69,4.534668,-0.878741,-11.43249,-0.26807,-0.968909,-0.029898,6587.223831495
70,4.576911,-0.881793,-11.465222,-0.268472,-0.97946,-0.027558,6587.224255156
71,4.538196,-0.932015,-11.285232,-0.269029,-0.976512,-0.026116,6587.224669946
72,4.581891,-0.930013,-11.142692,-0.263858,-0.975611,-0.026149,6587.225113439
73,4.604209,-0.94524,-11.328292,-0.260474,-0.985319,-0.026978,6587.225529951
74,4.561144,-0.945861,-11.178926,-0.266836,-0.981238,-0.027031,6587.225956518
75,4.53758,-0.88356,-11.358617,-0.264841,-0.977212,-0.027685,6587.226400826
76,4.559378,-0.893406,-11.215735,-0.263486,-0.973844,-0.028498,6587.226815024
77,4.540943,-0.931736,-11.180118,-0.26271,-0.974632,-0.026194,6587.22710113
78,4.557629,-0.916952,-11.172773,-0.271209,-0.972208,-0.025259,6587.227394737
79,4.529988,-0.705025,-11.460806,-0.261271,-0.96136,-0.030521,6587.227819675
80,4.516295,-0.892227,-11.211249,-0.267104,-0.966859,-0.026047,6587.228250631
81,4.623549,-0.931342,-11.288472,-0.262761,-0.983899,-0.026121,6587.228692736
82,4.536911,-0.904844,-11.248353,-0.268529,-0.970603,-0.02684,6587.229109137
83,4.559893,-0.870203,-11.397253,-0.258324,-0.976818,-0.026861,6587.229531334
84,4.531358,-0.828117,-11.392087,-0.271256,-0.96499,-0.031412,6587.22997016
85,4.581037,-0.907521,-11.324349,-0.262546,-0.980605,-0.026912,6587.230398913
86,4.574916,-0.781758,-11.50515,-0.261032,-0.97425,-0.033053,6587.230823832
87,4.558859,-0.944049,-11.286016,-0.2704,-0.978814,-0.026909,6587.231254252
88,4.581287,-0.93385,-11.249673,-0.266773,-0.984242,-0.026191,6587.231677523
89,4.536953,-0.906127,-11.394617,-0.267366,-0.974218,-0.026818,6587.232134535
90,4.604198,-0.843833,-11.363594,-0.247883,-0.976007,-0.025258,6587.23254838
91,4.516394,-0.844958,-11.285257,-0.261782,-0.969809,-0.027656,6587.232963503
92,4.577968,-0.807881,-11.248997,-0.260249,-0.97531,-0.030036,6587.233406867
93,4.583416,-0.908168,-11.144622,-0.258875,-0.980145,-0.027034,6587.233818879
94,4.578144,-0.930077,-11.322559,-0.271379,-0.978091,-0.028427,6587.234253743
95,4.668888,-0.90738,-12.085364,-0.287708,-0.977391,-0.036472,6587.234693384
96,5.44435,0.795942,-103.372714,-0.608798,-0.569653,-0.16578,6587.235104248
97,-6.739226,-10.025096,-210.546268,-1.199516,0.960451,-0.168852,6587.235541427
98,14.295477,-24.690147,-170.391111,-1.960198,-0.714985,-0.061006,6587.235972142
99,37.706283,-21.007492,-149.497183,-1.983709,-4.19727,0.142416,6587.236398321
100,43.54019,2.238856,-53.202616,-0.181921,-5.338121,0.054686,6587.23683537
101,24.889317,18.76168,-4.773431,1.530597,-3.351378,-0.176209,6587.237258511
102,-1.209535,14.342665,-18.442939,1.376536,-0.477091,-0.159561,6587.237828466
103,-10.751796,0.286107,-41.309239,0.213628,0.667766,-0.045862,6587.2382717
104,-12.244347,-12.713593,-60.179902,-0.937201,0.860955,0.036033,6587.238677564
105,-8.413236,-21.564991,-70.877651,-1.810357,0.488932,0.034924,6587.239117538
106,-8.033659,-29.623225,-94.262249,-2.366894,0.207359,-0.03346,6587.239545347
107,-8.689204,-37.96195,-117.037152,-2.985034,0.082106,-0.111838,6587.239967951
108,-5.665747,-42.100535,-115.930258,-3.547509,-0.265378,-0.117727,6587.240424315
