,Fx,Fy,Fz,Mx,My,Mz,t
0,-1.402896,3.215802,-37.279366,-0.067767,-0.54271,0.019532,1742.826878312
1,0.111816,5.648459,-27.211465,0.18056,-0.641476,0.015384,1742.827520623
2,1.318823,5.889063,-23.149516,0.26148,-0.734565,0.017315,1742.827949509
3,1.84775,5.63535,-21.54589,0.239461,-0.777801,0.019091,1742.828374062
4,1.987445,4.185171,-22.725138,0.111507,-0.777842,0.00727,1742.828929003
5,1.205641,3.003524,-25.309265,-0.002349,-0.731294,0.002596,1742.829373242
6,0.143118,2.031039,-28.828726,-0.109863,-0.65637,6.9e-05,1742.829801665
7,-0.472151,1.412669,-30.264165,-0.181505,-0.606082,-0.004087,1742.830204774
8,-0.343925,1.312988,-29.251829,-0.195569,-0.61894,-0.013382,1742.83064866
9,0.086457,1.4824,-27.541227,-0.16381,-0.64939,-0.012599,1742.83108538
10,0.514857,1.385596,-26.047835,-0.160535,-0.681501,-0.007672,1742.831495618
11,0.822862,1.212362,-25.218203,-0.14652,-0.710811,0.002131,1742.831929634
12,1.074506,0.950789,-24.964826,-0.167414,-0.726454,0.006185,1742.83222004
13,1.300745,0.275518,-25.395284,-0.222935,-0.727756,-0.002798,1742.832655797
14,1.469412,-0.704907,-26.340243,-0.336323,-0.714248,-0.024708,1742.833060461
15,3.072093,-1.513919,-26.804115,-0.389929,-0.843051,-0.030825,1742.833509366
16,4.473969,-1.584811,-28.89552,-0.391978,-0.962564,-0.016152,1742.834089566
17,4.109734,-0.770569,-30.344184,-0.325419,-0.925591,0.006981,1742.83449249
18,4.014359,0.339823,-30.391443,-0.206125,-0.940837,0.016012,1742.834945098
19,3.97676,2.044762,-29.964305,-0.091059,-0.944397,-0.017709,1742.835512373
20,4.932907,2.416112,-29.253391,-0.058517,-1.031749,-0.048909,1742.835952333
21,4.86201,2.355527,-28.945223,-0.074075,-0.977993,-0.065946,1742.836374645
22,5.171443,1.993659,-29.935445,-0.095883,-0.992664,-0.058724,1742.836800458
23,5.304093,2.086929,-30.907149,-0.104368,-1.001125,-0.059527,1742.837065308
24,5.479575,1.817321,-32.695879,-0.133074,-1.019676,-0.060011,1742.837505102
25,5.769527,1.512106,-34.506168,-0.135578,-1.046577,-0.063032,1742.837946284
26,5.280131,1.401762,-36.984803,-0.144049,-1.016028,-0.057221,1742.838358689
27,4.70528,1.343287,-38.698052,-0.160662,-0.965124,-0.058005,1742.838635928
28,4.050997,1.285512,-40.749899,-0.161826,-0.905233,-0.058724,1742.838937982
29,3.450202,1.05196,-42.157399,-0.16015,-0.855489,-0.056806,1742.839221481
30,3.259756,0.476054,-43.677879,-0.206116,-0.862272,-0.065168,1742.83964633
31,3.263289,-0.344989,-44.291315,-0.264939,-0.863054,-0.066497,1742.840108253
32,2.850063,-1.688607,-45.534913,-0.375071,-0.851938,-0.067952,1742.840512918
33,1.583811,-2.727075,-47.973521,-0.440774,-0.747563,-0.051417,1742.840947674
34,-0.066526,-3.772288,-50.875892,-0.530517,-0.621123,-0.037176,1742.841353376
35,-1.055777,-4.5869,-52.977956,-0.612011,-0.539439,-0.039597,1742.841797484
36,-1.980695,-5.589821,-54.216159,-0.719841,-0.473473,-0.054538,1742.842377592
37,-2.385646,-6.163594,-54.387447,-0.751738,-0.46135,-0.053492,1742.842781182
38,-2.946779,-6.355498,-54.613136,-0.771017,-0.422051,-0.053743,1742.843239402
