,hop_energy
0,2.957484813758402
1,1.0325385257102084
2,0.7073103545925061
3,1.4341676725191244
4,2.733578109762302
5,2.568548091931042
6,1.5917182529474836
7,2.8499992749386367
8,1.9851858185911508
9,1.512587989992852
10,1.7794178704054096
11,1.1939376214731094
12,2.31413403151177
13,1.9768918703939278
14,3.0253314315958644
15,2.9471063038590035
16,1.3316416007103697
17,1.935527724682859
18,3.355523451717965
19,1.5559956490447844
20,2.1048386483652477
21,2.1437437832767756
22,2.242891096207666
23,1.7552029204787916
24,0.8193389012120864
25,1.8378159120108117
26,1.790509352715433
27,2.372847722447295
28,2.216315803302356
29,1.984176723906371
30,1.5910698632433231
31,1.7930583747872726
32,2.4798137394078745
33,2.6411268552467115
34,1.7887800467290553
35,1.0824500701686581
36,1.1119051595010339
37,1.685976298485163
38,2.267771543861163
39,1.05101530689599
40,1.8990632351387164
41,2.4897920691895186
42,2.946479737720596
43,1.451977769892852
44,2.0969540113757184
45,1.1404630010096097
46,2.279200905252118
47,2.499485627210687
