,x_deg,x_moteus_deg,y,l,mode,u_ff,q_current,d_current,torque,t_s
0,-19.516479492187496,-22.5164794921875,0.1580958124589175,0.1449041875410825,2,0.0,-4.3,0.6000000000000001,-1.8224520683288574,1746.931258403
1,-17.6927490234375,-20.6927490234375,0.15563375617283357,0.14736624382716643,2,-2.0375183624359416,-4.4,0.1,-1.8647791147232056,1746.934282071
2,-16.8138427734375,-19.8138427734375,0.15444975057131372,0.14855024942868628,2,-1.9682503626686514,-4.5,-0.30000000000000004,-1.875482439994812,1746.935657748
3,-15.984374999999998,-18.984375,0.1533343648334293,0.1496656351665707,2,-1.905818180119648,-4.5,-0.6000000000000001,-1.8902053833007812,1746.936989018
4,-15.253784179687498,-18.2537841796875,0.1523538427526544,0.1506461572473456,2,-1.8439175061015503,-4.1000000000000005,0.30000000000000004,-1.7183096408843994,1746.938370714
5,-14.5506591796875,-17.5506591796875,0.1514120924238435,0.1515879075761565,2,-1.7805517316765878,-4.1000000000000005,-0.2,-1.7139935493469238,1746.939724651
6,-13.880493164062502,-16.8804931640625,0.1505164198202168,0.1524835801797832,2,-1.7196735963609857,-3.5,0.4,-1.4603902101516724,1746.941113402
7,-13.2652587890625,-16.2652587890625,0.14969597597821988,0.15330402402178012,2,-1.6551462199553857,-3.9000000000000004,0.4,-1.622698187828064,1746.94249832
8,-12.7159423828125,-15.7159423828125,0.14896501525363168,0.15403498474636831,2,-1.5927136583061055,-3.6,-0.30000000000000004,-1.537085771560669,1746.943933552
9,-12.1446533203125,-15.1446533203125,0.14820650031099358,0.1547934996890064,2,-1.5246088157803195,-3.4000000000000004,-0.30000000000000004,-1.4470019340515137,1746.945424247
10,-11.683227539062498,-14.6832275390625,0.1475951773715448,0.1554048226284552,2,-1.4591275527050467,-3.4000000000000004,-0.1,-1.42005455493927,1746.94674061
11,-11.26025390625,-14.26025390625,0.1470358872475185,0.15596411275248148,2,-1.3989349944307117,-3.3000000000000003,0.0,-1.4031171798706055,1746.94815825
12,-10.842773437500002,-13.8427734375,0.14648492385124007,0.15651507614875992,2,-1.3357863350890122,-3.3000000000000003,-0.1,-1.4116151332855225,1746.949555668
13,-10.4527587890625,-13.4527587890625,0.14597119725823082,0.15702880274176917,2,-1.2737763083347091,-3.2,0.8,-1.3409626483917236,1746.950943438
14,-10.0517578125,-13.0517578125,0.14544402998431794,0.15755597001568206,2,-1.2103059736402662,-2.9000000000000004,0.2,-1.2461061477661133,1746.952518743
15,-9.623291015625,-12.623291015625,0.144881948197087,0.158118051802913,2,-1.1424710651472512,-2.9000000000000004,0.0,-1.2118077278137207,1746.953940068
16,-9.205810546875,-12.205810546875,0.14433550254741842,0.15866449745258157,2,-1.0808689084548089,-2.6,0.0,-1.1060887575149536,1746.955375468
17,-8.7498779296875,-11.7498779296875,0.14374015102157264,0.15925984897842735,2,-1.0186803646381204,-2.6,0.0,-1.1005586385726929,1746.956743626
18,-8.299438476562502,-11.2994384765625,0.14315347909957496,0.15984652090042503,2,-0.9596330855168806,-2.5,0.0,-1.042338490486145,1746.958079137
19,-7.832519531250001,-10.83251953125,0.14254697386994636,0.16045302613005363,2,-0.9024575098602603,-2.2,-0.2,-0.9328997135162354,1746.959477573
20,-7.327148437500001,-10.3271484375,0.14189244947556962,0.16110755052443038,2,-0.8438104389446495,-2.2,0.0,-0.9532877206802368,1746.960819621
21,-6.8382568359375,-9.8382568359375,0.14126123407798236,0.16173876592201764,2,-0.7872228643069872,-1.8,-0.2,-0.7805441617965698,1746.962184521
22,-6.365844726562501,-9.3658447265625,0.14065318597721702,0.16234681402278298,2,-0.7315870218650462,-1.7000000000000002,-0.2,-0.7086940407752991,1746.963515606
23,-5.887939453125,-8.887939453125,0.14004001004921718,0.1629599899507828,2,-0.6767183545165472,-1.5,0.2,-0.6445382237434387,1746.964858339
24,-5.41552734375,-8.41552734375,0.13943585233860897,0.16356414766139102,2,-0.6216862900335698,-1.3,0.1,-0.5637530088424683,1746.966237053
25,-4.965087890625,-7.965087890625,0.13886166420297885,0.16413833579702114,2,-0.5677613550467167,-1.1,-0.2,-0.4944044351577759,1746.967575916
26,-4.520141601562501,-7.5201416015625,0.13829631123247574,0.16470368876752425,2,-0.5149602627499408,-1.2000000000000002,0.0,-0.5353896617889404,1746.968960537
27,-4.119140625,-7.119140625,0.13778838914173244,0.16521161085826755,2,-0.4613476468587858,-1.2000000000000002,-0.1,-0.5159266591072083,1746.970313029
28,-3.7071533203125,-6.7071533203125,0.13726815585784086,0.16573184414215913,2,-0.41073123369941245,-1.1,0.1,-0.5030608773231506,1746.971661892
29,-3.3226318359375004,-6.3226318359375,0.13678409859402543,0.16621590140597456,2,-0.36019750305734766,-0.9,-0.2,-0.39909645915031433,1746.973025273
30,-2.965576171875,-5.965576171875,0.13633593016042392,0.16666406983957607,2,-0.30886296747650555,-0.4,0.0,-0.31847044825553894,1746.97437895
31,-2.5975341796875004,-5.5975341796875,0.13587531647172638,0.16712468352827362,2,-0.26121817492634203,0.0,0.0,-0.00799915473908186,1746.975708572
