,x_deg,x_moteus_deg,y,l,mode,u_ff,q_current,d_current,torque,t_s
0,-19.673461914062504,35.3265380859375,0.15830797915609868,0.14469202084390131,2,0.0,-3.4000000000000004,-0.30000000000000004,-1.4468755722045898,10119.523667761
1,-17.965087890625,37.034912109375,0.15600101718786186,0.14699898281213813,2,-1.8151093405687484,-4.4,0.4,-1.8705267906188965,10119.527438545
2,-16.910400390625004,38.089599609375,0.15457972616060564,0.14842027383939435,2,-1.7296917622078096,-4.9,-0.30000000000000004,-2.0759503841400146,10119.529306401
3,-15.8172607421875,39.1827392578125,0.15310991502857235,0.14989008497142764,2,-1.6449623972506986,-4.4,-0.4,-1.836822509765625,10119.530943869
4,-14.817504882812502,40.1824951171875,0.15176926582518252,0.15123073417481747,2,-1.5723196152098513,-4.2,0.0,-1.77555513381958,10119.532621374
5,-13.718872070312502,41.2811279296875,0.15030071660974978,0.1526992833902502,2,-1.4971560062364753,-3.8000000000000003,0.30000000000000004,-1.611574649810791,10119.534285545
6,-12.609252929687498,42.3907470703125,0.14882322752441907,0.15417677247558093,2,-1.4232774396775327,-3.7,-0.2,-1.5642096996307373,10119.535903921
7,-11.538085937500004,43.4619140625,0.14740313969427232,0.15559686030572767,2,-1.3474631898809015,-3.3000000000000003,-0.4,-1.4300204515457153,10119.537479538
8,-10.582275390624998,44.417724609375,0.14614168827320945,0.15685831172679054,2,-1.2827419393160961,-2.8000000000000003,-0.30000000000000004,-1.1703808307647705,10119.538918248
9,-9.686889648437504,45.3131103515625,0.144965300270079,0.15803469972992099,2,-1.2203475495121223,-2.9000000000000004,-0.30000000000000004,-1.2413710355758667,10119.540319644
10,-8.813476562500004,46.1865234375,0.1438231063825858,0.1591768936174142,2,-1.158745787169487,-2.8000000000000003,-0.2,-1.200565218925476,10119.541711763
11,-8.005981445312498,46.9940185546875,0.14277209563482351,0.16022790436517648,2,-1.0994971405392344,-2.3000000000000003,0.2,-0.9616552591323853,10119.543066233
12,-7.231445312500003,47.7685546875,0.14176873169449394,0.16123126830550605,2,-1.041548888898356,-2.3000000000000003,-0.30000000000000004,-0.9678497314453125,10119.54446174
13,-6.484375000000001,48.515625,0.14080557048742318,0.16219442951257682,2,-0.9828525475368282,-2.3000000000000003,0.2,-0.9715810418128967,10119.545838711
14,-5.770263671875002,49.229736328125,0.13988933188963423,0.16311066811036576,2,-0.9265695464587189,-2.2,0.0,-0.9495294094085693,10119.547255014
15,-5.083618164062503,49.9163818359375,0.13901257883353407,0.16398742116646592,2,-0.8680276235481967,-2.0,0.0,-0.8127352595329285,10119.548674225
16,-4.380493164062499,50.6195068359375,0.1381192545245468,0.1648807454754532,2,-0.8083855573087184,-1.8,-0.30000000000000004,-0.7493947148323059,10119.550057251
17,-3.7597656250000004,51.240234375,0.13733449995295824,0.16566550004704175,2,-0.7523461163204996,-1.3,0.2,-0.560945451259613,10119.551436258
18,-3.2159423828125036,51.7840576171875,0.13665005091536386,0.16634994908463613,2,-0.698344315929252,-1.5,0.0,-0.6461735963821411,10119.552823969
19,-2.639160156250003,52.36083984375,0.13592734330886103,0.16707265669113897,2,-0.6439526012511063,-1.5,-0.1,-0.6563916206359863,10119.554200587
20,-2.1282958984375036,52.8717041015625,0.13529006519732548,0.16770993480267452,2,-0.589775183447943,-1.2000000000000002,-0.2,-0.5342144966125488,10119.555618335
21,-1.6009521484374991,53.3990478515625,0.1346350831414866,0.1683649168585134,2,-0.5340780450091214,-1.4000000000000001,0.1,-0.590621292591095,10119.557109082
22,-1.1834716796874998,53.8165283203125,0.13411865003254125,0.16888134996745874,2,-0.4782259648270968,-1.0,0.0,-0.44849953055381775,10119.558543089
23,-0.7714843750000041,54.228515625,0.13361085711831486,0.16938914288168513,2,-0.42614329700576214,-0.9,0.0,-0.387496680021286,10119.559875486
24,-0.4034423828125004,54.5965576171875,0.13315880102323924,0.16984119897676075,2,-0.3767823657683511,-0.7000000000000001,-0.4,-0.33047613501548767,10119.561302178
25,-0.07385253906250389,54.9261474609375,0.13275525016976789,0.1702447498302321,2,-0.3258703500312714,-0.4,-0.30000000000000004,-0.2025763839483261,10119.562712629
26,0.24475097656249784,55.2447509765625,0.1323663097810966,0.1706336902189034,2,-0.2755496102224655,-0.6000000000000001,0.0,-0.2740575671195984,10119.56407984
27,0.5578613281249958,55.557861328125,0.13198519685091098,0.171014803149089,2,-0.2278145008475403,0.0,0.2,-0.031525060534477234,10119.565499144
