,Fx,Fy,Fz,Mx,My,Mz,t
0,-0.427885,-6.214156,-43.716547,-0.643909,-0.697201,-0.083696,10302.861324654
1,-0.212287,-5.709886,-42.231444,-0.599651,-0.714185,-0.072447,10302.861833094
2,-0.090266,-5.150418,-40.926079,-0.570482,-0.712757,-0.06963,10302.862404422
3,0.246495,-4.755541,-40.330155,-0.527033,-0.727872,-0.063295,10302.862806289
4,0.665555,-4.655638,-39.367758,-0.521839,-0.759189,-0.057154,10302.863241063
5,1.442136,-4.457628,-38.22333,-0.492427,-0.79957,-0.04516,10302.863835002
6,2.026941,-4.400341,-37.523003,-0.485855,-0.839967,-0.041948,10302.864236221
7,2.621138,-4.147424,-37.148588,-0.477531,-0.859873,-0.047718,10302.864672699
8,3.606044,-4.241135,-36.050108,-0.474692,-0.926895,-0.0405,10302.86524886
9,4.165623,-4.26943,-35.503129,-0.485126,-0.970122,-0.047599,10302.865663209
10,4.5365,-4.116804,-34.909008,-0.483932,-0.993149,-0.049938,10302.866107945
11,4.914384,-3.945017,-34.536546,-0.462879,-1.025649,-0.046021,10302.866534831
12,4.989041,-3.773166,-34.298901,-0.471637,-1.029969,-0.046708,10302.866944457
13,4.978352,-3.727237,-33.348188,-0.461656,-1.047738,-0.043579,10302.867389082
14,4.856896,-3.389254,-32.866961,-0.427605,-1.030913,-0.040672,10302.867817319
15,4.478748,-3.180339,-32.781923,-0.42389,-1.007614,-0.040932,10302.868235167
16,4.133008,-3.061987,-32.013141,-0.410319,-0.990754,-0.037761,10302.868673923
17,3.639248,-3.003521,-31.168865,-0.409574,-0.956513,-0.03378,10302.869106678
18,3.226228,-2.820546,-30.724655,-0.396181,-0.92782,-0.031124,10302.869520786
19,2.89415,-2.605235,-30.032273,-0.383119,-0.891557,-0.036335,10302.869956245
20,2.69342,-2.511202,-29.4209,-0.3636,-0.868407,-0.037593,10302.870436741
21,2.590539,-2.475481,-28.57842,-0.368518,-0.851902,-0.037957,10302.870953995
22,2.653271,-2.461726,-28.140248,-0.370973,-0.852465,-0.03968,10302.871390547
23,2.670091,-2.426326,-27.843828,-0.382246,-0.855883,-0.044555,10302.871681619
24,2.878913,-2.346281,-27.62515,-0.371155,-0.862019,-0.044443,10302.872097282
25,3.187058,-2.256525,-27.400304,-0.372994,-0.885865,-0.048306,10302.872530722
