,Fx,Fy,Fz,Mx,My,Mz,t
0,-0.206518,-15.290972,-60.480291,-0.886037,-0.700803,-0.021024,7983.842065825
1,-0.910197,-14.835826,-55.928066,-0.857782,-0.667541,-0.039495,7983.842579451
2,-0.023348,-14.228349,-51.801888,-0.846352,-0.82544,-0.051882,7983.843145816
3,-0.541462,-13.848684,-49.67453,-0.860463,-0.839841,-0.045051,7983.843558387
4,-1.554757,-13.608132,-46.948116,-0.879435,-0.782523,-0.043243,7983.84398405
5,-2.665455,-12.748008,-42.822411,-0.884844,-0.68176,-0.061474,7983.844580027
6,-2.715432,-11.861539,-39.737895,-0.869797,-0.674687,-0.063569,7983.84497745
7,-2.887287,-10.827512,-37.533842,-0.820177,-0.654012,-0.060551,7983.845417928
8,-2.84533,-8.99665,-35.302803,-0.683101,-0.656135,-0.043278,7983.845996923
9,-3.033338,-7.100233,-33.516895,-0.583815,-0.607995,-0.021889,7983.84640479
10,-2.265635,-5.956026,-31.427129,-0.562436,-0.670543,-0.021278,7983.846850157
11,-1.343131,-4.280433,-29.441211,-0.500571,-0.712463,-0.060787,7983.847421337
12,-0.510416,-3.087625,-28.48691,-0.441865,-0.766862,-0.078742,7983.847840667
13,-0.869231,-1.244238,-28.00855,-0.332928,-0.668994,-0.039506,7983.848279145
14,-0.531515,0.102564,-27.220154,-0.198419,-0.662276,-0.006675,7983.848710197
15,0.843188,1.346407,-25.5326,-0.140035,-0.766017,-0.028784,7983.849120101
16,2.136317,2.326693,-23.918292,-0.100952,-0.854517,-0.042002,7983.849561468
17,3.1635,2.960624,-23.16536,-0.068433,-0.909013,-0.051675,7983.85000065
18,4.013849,3.065817,-22.893843,-0.104753,-0.944486,-0.067306,7983.850406646
19,4.827454,3.365548,-22.875245,-0.106609,-0.973138,-0.074906,7983.850843754
20,5.897332,3.459773,-22.589078,-0.123111,-1.048521,-0.069315,7983.851330139
21,6.642002,3.642185,-22.235265,-0.116643,-1.101982,-0.060136,7983.851695451
22,7.050563,4.067384,-22.404979,-0.086088,-1.122963,-0.063592,7983.852138354
23,7.438759,4.334032,-22.22062,-0.027902,-1.157404,-0.051011,7983.852570555
24,7.186076,4.655802,-21.975471,-0.006897,-1.112142,-0.034905,7983.852980977
25,7.180539,4.572719,-21.667117,0.022869,-1.100482,-0.028819,7983.853419918
26,7.386947,3.98718,-21.663964,-0.036439,-1.13663,-0.052884,7983.853859525
27,7.509472,3.167926,-21.956857,-0.111643,-1.148578,-0.071011,7983.854272985
28,7.048844,2.510096,-22.812198,-0.172936,-1.114171,-0.070772,7983.854703648
29,6.099855,2.326062,-23.863996,-0.166702,-1.040784,-0.043742,7983.855145904
30,5.591582,2.122844,-24.367127,-0.163366,-1.025571,-0.020287,7983.855557012
31,5.441411,2.201455,-24.598498,-0.120147,-1.041341,-0.01453,7983.855989064
32,4.3623,2.080378,-25.303931,-0.128026,-0.975826,-0.016665,7983.856456967
33,3.240025,1.751801,-26.751595,-0.143726,-0.890639,-0.018241,7983.856857668
34,2.543469,1.444639,-27.559897,-0.190693,-0.833088,-0.023583,7983.857129073
35,1.857746,1.20532,-28.010273,-0.209975,-0.779714,-0.024548,7983.857421385
36,1.4971,0.951629,-28.431707,-0.198545,-0.761315,-0.016927,7983.857710957
