,Fx,Fy,Fz,Mx,My,Mz,t
0,0.931913,-1.1464,-23.05042,-0.332583,-0.726018,-0.017624,12669.330415582
1,-0.105395,-0.661252,-24.14747,-0.327038,-0.646472,-0.013371,12669.330922041
2,-0.857561,-0.152926,-25.288692,-0.320601,-0.554694,-0.015612,12669.331503221
3,-0.623581,0.28708,-25.612686,-0.298184,-0.531409,-0.028167,12669.331910032
4,0.481168,0.564738,-24.962676,-0.260094,-0.601322,-0.037346,12669.332356843
5,2.363021,0.906346,-23.68847,-0.203564,-0.742617,-0.042671,12669.332935061
6,3.37546,1.102274,-24.262271,-0.188066,-0.831798,-0.04666,12669.333343409
7,3.991222,1.063414,-25.53875,-0.19172,-0.892793,-0.051328,12669.333758406
8,4.180277,0.638553,-26.351623,-0.217845,-0.92142,-0.04782,12669.334047681
9,4.300011,0.336502,-27.712152,-0.235071,-0.920616,-0.046082,12669.334336586
10,4.294114,-0.384292,-29.821308,-0.287304,-0.927594,-0.052237,12669.334765453
11,4.068801,-1.124393,-32.21147,-0.365317,-0.906342,-0.059614,12669.335186264
12,3.914242,-1.923355,-34.837288,-0.422163,-0.888518,-0.066187,12669.335628501
13,3.760003,-2.874288,-36.54479,-0.508866,-0.87791,-0.073257,12669.336067479
14,4.329172,-3.851144,-36.135577,-0.58496,-0.92975,-0.075696,12669.33661577
15,4.565117,-4.357831,-35.744887,-0.625632,-0.972329,-0.075337,12669.33706247
16,4.31346,-4.656023,-36.149671,-0.658485,-0.964022,-0.075357,12669.337481689
17,3.93695,-4.760425,-36.330685,-0.675859,-0.939777,-0.074688,12669.337756539
18,3.197496,-5.306039,-37.267787,-0.697648,-0.887924,-0.066875,12669.338194794
19,2.023292,-5.653802,-39.210911,-0.734285,-0.793306,-0.064771,12669.338636253
20,0.859651,-6.345673,-40.654747,-0.785573,-0.703106,-0.056714,12669.339078453
21,-0.087338,-6.817923,-42.672245,-0.832695,-0.617169,-0.053499,12669.33948208
22,-0.833859,-7.260232,-44.333821,-0.850327,-0.558811,-0.045952,12669.339921928
23,-1.00793,-7.931401,-45.375476,-0.916006,-0.537669,-0.051672,12669.340335535
24,-0.228623,-8.929613,-46.076617,-1.017112,-0.59987,-0.081855,12669.34076718
25,0.177879,-9.739201,-47.123776,-1.096579,-0.630653,-0.09449,12669.341206139
26,-0.277613,-9.614337,-48.522181,-1.062861,-0.57752,-0.059517,12669.341762838
27,-0.029478,-8.983143,-49.508527,-0.996298,-0.605414,-0.039041,12669.342196705
28,0.448631,-8.488578,-49.048887,-0.958239,-0.657553,-0.037602,12669.342638164
29,1.062634,-7.534967,-48.149538,-0.899391,-0.703731,-0.054345,12669.343192289
30,1.532818,-6.88493,-47.558339,-0.860279,-0.738419,-0.074236,12669.343634822
31,1.514381,-6.071574,-46.730074,-0.787241,-0.722903,-0.066567,12669.344083467
32,1.905675,-4.988651,-45.345248,-0.710013,-0.745039,-0.070099,12669.344640573
33,2.551261,-4.396472,-43.975898,-0.670315,-0.808155,-0.076994,12669.345068458
34,3.349811,-3.64217,-42.791174,-0.591244,-0.876261,-0.075799,12669.34548464
35,3.601855,-3.373399,-41.909272,-0.569363,-0.891874,-0.077689,12669.345759045
36,4.087628,-3.13974,-41.212549,-0.535313,-0.930026,-0.074714,12669.346052876
37,4.383127,-2.77316,-40.572289,-0.497533,-0.94777,-0.062891,12669.346500872
38,4.223757,-2.132817,-40.604439,-0.474974,-0.935842,-0.058735,12669.346911406
39,3.916964,-1.841916,-40.227754,-0.445885,-0.919929,-0.051296,12669.34733455
40,3.589093,-1.605295,-39.820716,-0.419063,-0.889245,-0.045317,12669.347781084
41,3.319867,-1.301926,-39.669493,-0.388584,-0.855771,-0.042231,12669.348207432
42,3.631074,-1.605785,-38.145965,-0.393122,-0.899124,-0.033762,12669.34877052
43,3.429461,-1.854227,-37.747268,-0.409378,-0.884222,-0.026168,12669.349212738
44,2.580436,-2.13736,-38.075654,-0.425909,-0.799498,-0.0087,12669.349771048
45,1.870928,-2.416342,-38.734222,-0.457144,-0.752148,-0.004808,12669.350200896
46,1.297051,-2.867921,-38.594489,-0.489181,-0.716241,0.006582,12669.350641633
47,0.786077,-3.453349,-38.134616,-0.536322,-0.687231,0.011433,12669.351197814
48,0.562486,-3.90708,-37.786064,-0.57291,-0.671025,0.010268,12669.351633218
49,0.431168,-4.196395,-37.218301,-0.57616,-0.669711,0.015165,12669.352088158
50,0.126648,-4.28728,-37.109565,-0.570793,-0.644144,0.026033,12669.352482377
51,-0.102214,-4.44864,-36.884802,-0.592386,-0.624858,0.032244,12669.352919725
52,-0.248784,-4.49262,-36.262928,-0.611097,-0.620738,0.027014,12669.353363759
53,-0.502232,-4.3965,-36.147474,-0.613894,-0.594613,0.026169,12669.353768644
54,-0.598191,-4.340954,-35.970524,-0.592429,-0.589688,0.029838,12669.354059919
55,-0.77079,-4.241756,-35.89129,-0.598778,-0.567564,0.026728,12669.354349102
56,-0.792462,-4.133595,-35.667031,-0.594286,-0.565289,0.02663,12669.354640618
57,-0.721351,-3.835292,-35.262541,-0.551041,-0.575079,0.031832,12669.35505267
58,-0.621438,-3.532178,-34.625941,-0.541454,-0.581664,0.030069,12669.355493611
59,-0.238607,-3.099521,-33.267426,-0.497759,-0.617245,0.02938,12669.355934978
60,0.264493,-2.541891,-31.754193,-0.454208,-0.658537,0.027212,12669.356342104
61,0.687669,-1.815603,-30.541708,-0.381457,-0.693875,0.021847,12669.356778674
62,0.830983,-1.292232,-29.543506,-0.348628,-0.697602,0.015157,12669.357219522
63,1.163978,-0.803207,-28.987058,-0.305926,-0.720352,0.011075,12669.357631537
64,1.292833,-0.586155,-28.841134,-0.276817,-0.733603,0.010937,12669.357917035
65,1.33134,-0.390058,-28.834576,-0.265048,-0.733817,0.009435,12669.358206662
66,1.45661,-0.2916,-28.904378,-0.252954,-0.744365,0.011109,12669.3584999
67,1.700575,-0.208905,-29.118801,-0.251608,-0.754441,0.009154,12669.358918341
68,2.164031,0.162183,-29.57787,-0.238481,-0.773545,0.002091,12669.359348412
69,2.732005,0.179887,-28.920523,-0.226178,-0.817774,0.005172,12669.359793945
70,3.336179,0.294851,-28.671166,-0.211704,-0.871184,-0.004325,12669.360206812
71,3.844889,0.663131,-28.626543,-0.196519,-0.896813,-0.016508,12669.360648049
72,4.171465,0.792325,-29.095965,-0.190011,-0.921991,-0.019998,12669.361084712
73,4.49318,0.604585,-29.103938,-0.186221,-0.966547,-0.015432,12669.36149406
74,4.590801,0.573738,-29.832511,-0.193419,-0.9738,-0.017311,12669.36192052
75,4.613313,0.465417,-30.235853,-0.194124,-0.976897,-0.012353,12669.36236522
76,4.546053,0.381834,-30.892248,-0.205728,-0.973566,-0.012806,12669.362785216
77,4.490042,0.053192,-30.754091,-0.223529,-0.967625,-0.005779,12669.363205268
78,4.573944,-0.116258,-31.010862,-0.23498,-0.978283,-0.002462,12669.363806244
79,4.473424,-0.27929,-30.866462,-0.246795,-0.976254,0.001293,12669.364206186
80,4.276984,-0.578535,-30.814105,-0.249646,-0.96829,0.003262,12669.364644793
81,3.985708,-0.943783,-31.261175,-0.279854,-0.943837,0.005762,12669.36508316
82,3.592191,-1.274524,-31.824031,-0.300942,-0.91226,0.005807,12669.365634488
83,3.245953,-1.483844,-32.07601,-0.347788,-0.863764,0.001482,12669.366079318
84,3.39801,-1.665653,-31.498771,-0.355879,-0.874841,0.003596,12669.366507685
85,3.942696,-1.728355,-30.701342,-0.35634,-0.90838,0.001161,12669.36709105
86,4.128767,-1.814972,-30.851623,-0.366221,-0.934934,-0.004387,12669.367513658
87,4.017864,-1.969823,-31.908041,-0.384386,-0.927333,-0.002222,12669.367930432
88,3.85663,-2.169407,-32.245383,-0.388698,-0.922007,0.00167,12669.368219892
89,3.735425,-2.26887,-32.907836,-0.381807,-0.916923,0.007392,12669.368501946
90,3.510308,-2.23563,-33.962072,-0.40398,-0.888023,-0.002173,12669.368941146
91,3.398156,-2.148341,-34.357369,-0.410358,-0.87626,-0.00586,12669.369356568
92,3.394867,-1.760153,-33.983931,-0.38595,-0.87275,-0.011563,12669.369786842
93,3.58714,-1.44018,-33.096162,-0.358251,-0.899135,-0.009729,12669.370230598
94,3.753837,-0.936291,-31.633733,-0.283555,-0.932261,-0.003018,12669.370780778
95,3.40128,-0.718363,-30.969465,-0.275209,-0.912586,-0.005248,12669.371223589
96,3.046442,-0.519359,-30.774988,-0.266382,-0.885376,-0.001524,12669.371656271
97,2.319012,-0.301635,-30.910172,-0.249776,-0.829394,0.006108,12669.372219303
98,1.959474,-0.019848,-31.084624,-0.234113,-0.785755,0.005475,12669.372657762
99,1.591335,0.044546,-30.867916,-0.218843,-0.757565,0.009837,12669.373081629
100,1.336117,0.142141,-30.902955,-0.22267,-0.730486,0.004303,12669.373645828
101,1.298271,0.23567,-30.794237,-0.207124,-0.730692,0.00571,12669.374087047
102,1.184932,0.276117,-31.015543,-0.221264,-0.715818,-0.006,12669.374507321
103,1.150453,0.195144,-30.802284,-0.217676,-0.724895,-0.003995,12669.374783189
104,1.171888,0.204902,-30.80065,-0.216615,-0.731668,-0.003258,12669.375077797
105,1.111222,0.165958,-30.770005,-0.217072,-0.729866,-0.005775,12669.375367962
106,1.110685,0.142689,-30.915949,-0.218381,-0.729046,-0.004885,12669.375803439
107,1.004155,-0.015556,-31.207111,-0.237121,-0.72198,-0.003158,12669.376217492
108,0.957947,0.013621,-31.680021,-0.237468,-0.711728,-0.003597,12669.376663377
109,0.952991,-0.079622,-31.891462,-0.255453,-0.706745,-0.000135,12669.377083762
110,1.058584,-0.210275,-31.633116,-0.266547,-0.710513,0.005442,12669.377503258
111,1.330377,-0.146535,-31.266754,-0.25992,-0.730964,0.004598,12669.377947995
112,1.597239,0.045083,-30.861165,-0.250362,-0.738694,-3.2e-05,12669.378366844
113,1.833614,-0.116546,-30.574055,-0.25245,-0.768664,0.00369,12669.378791414
114,1.911762,-0.136217,-30.605747,-0.264873,-0.770186,0.002307,12669.379234596
115,1.86308,-0.081983,-31.261807,-0.266138,-0.760392,-0.001211,12669.379655722
116,1.893029,-0.266656,-31.56468,-0.25773,-0.768553,0.005906,12669.380076774
117,1.678661,-0.438055,-32.0831,-0.283967,-0.755841,-0.002684,12669.3805224
118,1.572067,-0.546456,-32.559567,-0.294549,-0.747345,-0.002461,12669.380944711
119,1.612965,-0.71225,-32.819303,-0.306786,-0.746644,-0.001444,12669.38136293
120,1.892058,-0.943314,-32.613329,-0.309093,-0.77549,-2.9e-05,12669.381810278
121,2.120938,-0.951308,-32.360196,-0.310384,-0.791024,-0.003195,12669.382230348
122,2.178405,-1.006259,-32.467086,-0.324179,-0.788722,-0.004528,12669.382648622
123,2.22645,-1.034855,-32.674964,-0.357705,-0.785427,-0.011229,12669.383092674
124,2.250816,-1.196785,-32.532836,-0.368305,-0.795226,-0.009833,12669.383530504
125,2.231149,-1.235946,-32.570984,-0.370109,-0.798765,-0.009907,12669.384081999
126,2.277315,-1.21224,-32.431985,-0.357443,-0.802497,-0.010844,12669.384525255
127,2.381835,-1.12711,-32.395482,-0.348075,-0.812869,-0.01245,12669.384941603
128,2.397119,-0.944856,-32.534986,-0.34281,-0.816251,-0.01711,12669.385369692
129,2.462502,-0.838632,-32.462464,-0.327243,-0.827327,-0.01725,12669.38581204
130,2.415829,-0.546214,-32.785605,-0.306991,-0.822406,-0.021837,12669.386227907
131,2.291342,-0.405,-32.892673,-0.293496,-0.81729,-0.02193,12669.386652977
132,2.196786,-0.060197,-33.428627,-0.279899,-0.802719,-0.027852,12669.387101251
133,2.223711,-0.077321,-33.468564,-0.267952,-0.813674,-0.024047,12669.387512155
134,2.220963,0.120404,-33.577149,-0.252107,-0.807051,-0.027887,12669.387938374
135,2.380081,0.298001,-33.533509,-0.25017,-0.810639,-0.033183,12669.388384296
136,2.558522,0.315557,-33.063575,-0.227129,-0.835763,-0.027279,12669.388804681
137,2.568034,0.47696,-33.050193,-0.239395,-0.832722,-0.03342,12669.389222882
138,2.5013,0.687509,-33.192564,-0.225811,-0.818219,-0.036412,12669.389668693
139,2.450942,0.468416,-32.910845,-0.226299,-0.833322,-0.031421,12669.390090597
140,2.388815,0.455524,-32.765969,-0.228943,-0.827066,-0.032309,12669.390507593
141,2.344578,0.409723,-32.838592,-0.237777,-0.818427,-0.03298,12669.390956737
142,2.345544,0.31488,-32.915803,-0.24206,-0.814784,-0.032111,12669.391393919
143,2.387831,0.243217,-33.246063,-0.242489,-0.81942,-0.02956,12669.391940229
144,2.473549,0.124022,-33.177589,-0.247137,-0.82382,-0.027957,12669.392390818
145,2.538222,-0.083014,-33.183339,-0.261545,-0.833001,-0.027197,12669.392807018
146,2.705184,-0.180093,-32.702821,-0.27659,-0.848071,-0.024149,12669.393374791
147,2.84966,-0.091779,-31.927203,-0.279784,-0.851431,-0.023512,12669.393819547
148,2.997144,0.134862,-31.407307,-0.262364,-0.869751,-0.023007,12669.394227358
149,3.292095,0.278019,-30.448751,-0.253367,-0.898041,-0.021033,12669.39451117
150,3.418478,0.545082,-29.822901,-0.231418,-0.90533,-0.022875,12669.394803168
151,3.080825,1.04917,-30.353499,-0.192088,-0.881071,-0.020384,12669.395246868
