Time,Displacement,Force,Rotation,Torque
(s),(mm),(mN),(deg),(N-mm)
"0.0000","0.0007","-14820.57953","148.9653","-165.0362"
"0.0050","0.0007","-14819.14902","148.9653","-165.0220"
"0.0100","0.0008","-14756.01006","148.9653","-165.0365"
"0.0150","0.0015","-14376.64127","148.9653","-165.0460"
"0.0200","0.0040","-13658.51021","148.9653","-164.7468"
"0.0250","0.0099","-12643.78262","148.9653","-163.8834"
"0.0300","0.0211","-11579.77772","148.9653","-162.5222"
"0.0350","0.0389","-10935.19211","148.9653","-160.8335"
"0.0400","0.0643","-10984.99393","148.9653","-159.0343"
"0.0450","0.0972","-11058.51841","148.9653","-157.1026"
"0.0500","0.1368","-10621.82331","148.9653","-154.9743"
"0.0550","0.1819","-9919.57474","148.9653","-152.9001"
"0.0600","0.2310","-9406.32915","148.9653","-151.1084"
"0.0650","0.2829","-9419.20757","148.9653","-149.6807"
"0.0700","0.3361","-9941.20502","148.9653","-148.5257"
"0.0750","0.3899","-10180.25970","148.9653","-147.4310"
"0.0800","0.4435","-9905.85899","148.9653","-146.3704"
"0.0850","0.4966","-9341.31241","148.9653","-145.4349"
"0.0900","0.5489","-8849.10679","148.9653","-144.8114"
"0.0950","0.6004","-8798.00797","148.9653","-144.5099"
"0.1000","0.6512","-9304.55399","148.9653","-144.3703"
"0.1050","0.7014","-9720.10136","148.9653","-144.1292"
"0.1100","0.7511","-9635.27393","148.9653","-143.6645"
"0.1150","0.8006","-9185.19783","148.9653","-143.1183"
"0.1200","0.8497","-8662.56046","148.9653","-142.6858"
"0.1250","0.8987","-8487.95986","148.9653","-142.4289"
"0.1300","0.9476","-8901.33572","148.9653","-142.3698"
"0.1350","0.9965","-9326.27487","148.9653","-142.2673"
"0.1360","1.0063","-9343.92166","148.9653","-142.2158"
"0.1370","1.0160","-9340.15560","148.9653","-142.1486"
"1.9230","5.1183","-16358.01697","148.9653","-120.8519"
"1.9280","5.1183","-16348.52219","148.9653","-120.8317"
"1.9330","5.1184","-16307.77740","148.9653","-120.8106"
"1.9380","5.1189","-16064.83841","148.9653","-120.8206"
"1.9430","5.1206","-15265.68317","148.9653","-120.9094"
"1.9480","5.1245","-13800.29774","148.9653","-121.0357"
"1.9530","5.1324","-11986.45592","148.9653","-121.1517"
"1.9580","5.1458","-10408.60462","148.9653","-121.2591"
"1.9630","5.1661","-9496.99497","148.9653","-121.3640"
"1.9680","5.1938","-8902.40669","148.9653","-121.3283"
"1.9730","5.2287","-8154.43325","148.9653","-120.9946"
"1.9780","5.2699","-7284.07526","148.9653","-120.4657"
"1.9830","5.3162","-6502.87199","148.9653","-119.9925"
"1.9880","5.3662","-6220.05177","148.9653","-119.6872"
"1.9930","5.4185","-6495.22781","148.9653","-119.4616"
"1.9980","5.4720","-6655.64346","148.9653","-119.1398"
"2.0030","5.5258","-6560.55117","148.9653","-118.6206"
"2.0080","5.5794","-6260.51950","148.9653","-118.0299"
"2.0130","5.6324","-5881.98042","148.9653","-117.6077"
"2.0180","5.6846","-5795.66431","148.9653","-117.4345"
"2.0230","5.7360","-6208.00352","148.9653","-117.4082"
"2.0280","5.7868","-6542.85049","148.9653","-117.3322"
"2.0330","5.8369","-6534.62315","148.9653","-117.0630"
"2.0380","5.8866","-6285.80046","148.9653","-116.6545"
"2.0430","5.9360","-5867.13505","148.9653","-116.3531"
"2.0480","5.9852","-5679.99363","148.9653","-116.2323"
"2.0530","6.0342","-5994.69376","148.9653","-116.2266"
"2.0580","6.0832","-6347.28909","148.9653","-116.1930"
"2.0620","6.1224","-6394.65714","148.9653","-116.0466"
"2.0630","6.1322","-6390.05041","148.9653","-115.9894"
"3.8430","10.2343","-11864.49146","148.9653","-102.9865"
"3.8480","10.2343","-11857.18632","148.9653","-103.0035"
"3.8530","10.2344","-11818.11237","148.9653","-103.0340"
